"CONGRESS2","CD","DoD","Population","MR","jenks"
"111 - 112 (2010 - 2012)","CD 01",679.7109,1090317.4029,6.23406448610397,"(5.25,6.23]"
"111 - 112 (2010 - 2012)","CD 02",518.2505,1026570.4626,5.048367539111,"(4.64,5.25]"
"111 - 112 (2010 - 2012)","CD 03",564.6855,974508.5064,5.79456717197928,"(5.25,6.23]"
"111 - 112 (2010 - 2012)","CD 04",513.5884,1042915.6593,4.92454394964899,"(4.64,5.25]"
"111 - 112 (2010 - 2012)","CD 05",387.9357,979472.8857,3.96065787694321,"[3.52,4.15]"
"111 - 112 (2010 - 2012)","CD 06",458.1728,1174285.1979,3.90171655760764,"[3.52,4.15]"
"111 - 112 (2010 - 2012)","CD 07",593.6459,1085631.0549,5.46821037700218,"(5.25,6.23]"
"111 - 112 (2010 - 2012)","CD 08",555.6352,1090822.0188,5.09372922826812,"(4.64,5.25]"
"111 - 112 (2010 - 2012)","CD 09",460.5971,1035258.4026,4.449102744235,"(4.15,4.64]"
"111 - 112 (2010 - 2012)","CD 10",475.1498,1037662.8948,4.57903816722271,"(4.15,4.64]"
"111 - 112 (2010 - 2012)","CD 11",657.7976,1056158.1336,6.22821127890995,"(5.25,6.23]"
"111 - 112 (2010 - 2012)","CD 12",747.5206,927143.4822,8.06262045035601,"(6.23,8.06]"
"111 - 112 (2010 - 2012)","CD 13",629.0422,1095620.1297,5.74142609238334,"(5.25,6.23]"
"111 - 112 (2010 - 2012)","CD 14",686.6879,938638.5867,7.31578596629198,"(6.23,8.06]"
"111 - 112 (2010 - 2012)","CD 15",533.0054,1149675.5958,4.63613737603179,"(4.15,4.64]"
"111 - 112 (2010 - 2012)","CD 16",391.6567,1111574.0292,3.52344234132454,"[3.52,4.15]"
"111 - 112 (2010 - 2012)","CD 17",471.2284,1094505.5712,4.30539973847143,"(4.15,4.64]"
"111 - 112 (2010 - 2012)","CD 18",545.6898,1061847.1809,5.13906153178732,"(4.64,5.25]"
"111 - 112 (2010 - 2012)","CD 19",527.9996,1171885.8048,4.50555504501662,"(4.15,4.64]"
