"CONGRESS2","CD","InfantMortality","LiveBirths","IMR","jenks"
"111 - 112 (2010 - 2012)","CD 01",291.2728,31350.8212,9.29075503770217,"(8.34,9.62]"
"111 - 112 (2010 - 2012)","CD 02",232.1543,25470.799,9.11452758117246,"(8.34,9.62]"
"111 - 112 (2010 - 2012)","CD 03",123.9498,19818.6093,6.25421280190432,"(5.67,7.11]"
"111 - 112 (2010 - 2012)","CD 04",101.3918,19402.0697,5.22582392331061,"(4.26,5.67]"
"111 - 112 (2010 - 2012)","CD 05",92.4804,18147.0263,5.09617380121392,"(4.26,5.67]"
"111 - 112 (2010 - 2012)","CD 06",121.9817,25184.1667,4.84358690335384,"(4.26,5.67]"
"111 - 112 (2010 - 2012)","CD 07",125.5398,22150.256,5.66764555678273,"(4.26,5.67]"
"111 - 112 (2010 - 2012)","CD 08",55.6808,16653.4915,3.34349106312031,"[3.34,4.26]"
"111 - 112 (2010 - 2012)","CD 09",140.7874,20522.4468,6.86016640082117,"(5.67,7.11]"
"111 - 112 (2010 - 2012)","CD 10",105.8204,17781.286,5.9512231005114,"(5.67,7.11]"
"111 - 112 (2010 - 2012)","CD 11",128.216,19729.0111,6.49885589045059,"(5.67,7.11]"
"111 - 112 (2010 - 2012)","CD 12",83.4945,16443.4833,5.07766502247124,"(4.26,5.67]"
"111 - 112 (2010 - 2012)","CD 13",118.9208,23526.366,5.0547883170737,"(4.26,5.67]"
"111 - 112 (2010 - 2012)","CD 14",166.5546,20248.8238,8.22539628202997,"(7.11,8.34]"
"111 - 112 (2010 - 2012)","CD 15",126.9084,22967.5586,5.52555028639396,"(4.26,5.67]"
"111 - 112 (2010 - 2012)","CD 16",186.8407,28668.4699,6.51728887700421,"(5.67,7.11]"
"111 - 112 (2010 - 2012)","CD 17",151.8627,23104.0131,6.57300094761459,"(5.67,7.11]"
"111 - 112 (2010 - 2012)","CD 18",80.0472,18812.2994,4.25504603653076,"[3.34,4.26]"
"111 - 112 (2010 - 2012)","CD 19",116.0959,22968.0023,5.05467991876681,"(4.26,5.67]"
