"CONGRESS2_AJE","CD","MR","jenks"
"113th-114th (2013-2016)","CD 01",7.00703461708187,"(6.36,7.28]"
"113th-114th (2013-2016)","CD 02",5.24860743541273,"(4.59,5.57]"
"113th-114th (2013-2016)","CD 03",5.92866827225729,"(5.57,6.36]"
"113th-114th (2013-2016)","CD 04",4.53935622009276,"(3.72,4.59]"
"113th-114th (2013-2016)","CD 05",4.14645159357103,"(3.72,4.59]"
"113th-114th (2013-2016)","CD 06",3.85426904618214,"(3.72,4.59]"
"113th-114th (2013-2016)","CD 07",4.58170987575162,"(3.72,4.59]"
"113th-114th (2013-2016)","CD 08",4.88218837236471,"(4.59,5.57]"
"113th-114th (2013-2016)","CD 09",5.90163879213806,"(5.57,6.36]"
"113th-114th (2013-2016)","CD 10",4.06425199424431,"(3.72,4.59]"
"113th-114th (2013-2016)","CD 11",4.99595171533145,"(4.59,5.57]"
"113th-114th (2013-2016)","CD 12",5.56873823481715,"(4.59,5.57]"
"113th-114th (2013-2016)","CD 13",5.14975909152452,"(4.59,5.57]"
"113th-114th (2013-2016)","CD 14",7.2825298313861,"(6.36,7.28]"
"113th-114th (2013-2016)","CD 15",4.3004643644904,"(3.72,4.59]"
"113th-114th (2013-2016)","CD 16",3.90542558806655,"(3.72,4.59]"
"113th-114th (2013-2016)","CD 17",5.86876157116928,"(5.57,6.36]"
"113th-114th (2013-2016)","CD 18",5.50856440742216,"(4.59,5.57]"
