"CONGRESS2_AJE","CD","IMR","jenks"
"113th-114th (2013-2016)","CD 01",8.3441377793782,"(7.11,8.34]"
"113th-114th (2013-2016)","CD 02",9.61594876650075,"(8.34,9.69]"
"113th-114th (2013-2016)","CD 03",6.06771744164598,"(5.28,6.27]"
"113th-114th (2013-2016)","CD 04",5.90221156596104,"(5.28,6.27]"
"113th-114th (2013-2016)","CD 05",4.78358488154171,"[3.79,5.28]"
"113th-114th (2013-2016)","CD 06",3.985576789414,"[3.79,5.28]"
"113th-114th (2013-2016)","CD 07",5.16729873757331,"[3.79,5.28]"
"113th-114th (2013-2016)","CD 08",3.7937400936901,"[3.79,5.28]"
"113th-114th (2013-2016)","CD 09",6.60457814131829,"(6.27,7.11]"
"113th-114th (2013-2016)","CD 10",7.10693408203493,"(6.27,7.11]"
"113th-114th (2013-2016)","CD 11",5.15871140582208,"[3.79,5.28]"
"113th-114th (2013-2016)","CD 12",4.92722236701464,"[3.79,5.28]"
"113th-114th (2013-2016)","CD 13",5.86384332993687,"(5.28,6.27]"
"113th-114th (2013-2016)","CD 14",7.7181123571892,"(7.11,8.34]"
"113th-114th (2013-2016)","CD 15",5.27574076501425,"[3.79,5.28]"
"113th-114th (2013-2016)","CD 16",6.71925508383153,"(6.27,7.11]"
"113th-114th (2013-2016)","CD 17",6.99091607350533,"(6.27,7.11]"
"113th-114th (2013-2016)","CD 18",4.1971016166914,"[3.79,5.28]"
