"SEX","EDUC","AGE_CAT_EDUC","mean","mean_CD116","sd","sd_CD116"
"Male","Less than High School","25 to 34 years",1.61278592636191,1.40816655275132,0.551937708404199,0.938301911845586
"Male","Less than High School","35 to 44 years",1.67912589004211,1.40616983962792,0.620133119435112,1.12496762699297
"Male","Less than High School","45 to 64 years",1.13943247799102,0.969546320110765,0.374736655632391,0.891149049936364
"Male","High School","25 to 34 years",1.95288612198035,1.84213176935047,0.509847561134224,0.702852649261123
"Male","High School","35 to 44 years",1.74830279354747,1.62889262612677,0.564872747527032,0.863421348393909
"Male","High School","45 to 64 years",1.16953908011077,1.11643333832851,0.349526817187971,0.618973767384809
"Male","Some College/Associate Degree","25 to 34 years",1.18811378267051,1.08549144100767,0.524304703118864,0.59224243161129
"Male","Some College/Associate Degree","35 to 44 years",0.945383462306841,0.944290080548702,0.576764053008135,0.716364874517707
"Male","Some College/Associate Degree","45 to 64 years",0.444399926056465,0.44960165538988,0.413679194302507,0.486681528954472
"Female","Less than High School","25 to 34 years",1.89043937232024,1.81618736281439,0.567973199201235,0.821823748694413
"Female","Less than High School","35 to 44 years",1.95412543036316,1.67542553272934,0.581474969715265,1.06234458196494
"Female","Less than High School","45 to 64 years",1.14576215583349,0.916566614123653,0.47588679887982,0.93154633275939
"Female","High School","25 to 34 years",1.83406321788038,1.78046365887634,0.48260919314114,0.572071910943975
"Female","High School","35 to 44 years",1.81029893396446,1.63699448075467,0.469311426971135,0.815070506779952
"Female","High School","45 to 64 years",0.99451328895935,0.976123375162361,0.404313764078118,0.655800285322951
"Female","Some College/Associate Degree","25 to 34 years",0.986125706792612,1.02793318567514,0.570835167588659,0.684289985386417
"Female","Some College/Associate Degree","35 to 44 years",0.999344647674092,0.929467493290256,0.444548420890221,0.85080320579334
"Female","Some College/Associate Degree","45 to 64 years",0.495916572593642,0.417168858651186,0.482229684014564,0.641909911181843
